map_seed,start_point,target_point,population_size,generations,mutation_rate,max_steps,num_iterations,success_rate,avg_execution_time,avg_path_length,avg_generations_needed,best_path_length,best_path,successful_runs
17,"(8, 1)","(11, 14)",1000,2000,0.9,42,10,100.0,15.82,34.6,1005.4,31,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (13, 1), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (13, 7), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (11, 13), (11, 14)]",10
18,"(7, 1)","(6, 14)",1000,2000,0.9,40,10,100.0,1.44,31.2,132.8,21,"[(7, 1), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (6, 14)]",10
19,"(15, 1)","(7, 14)",1000,2000,0.9,47,10,100.0,3.65,33.4,309.3,26,"[(15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (6, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (6, 14), (7, 14)]",10
20,"(11, 1)","(8, 14)",1000,2000,0.9,42,10,100.0,2.64,29.0,231.2,23,"[(11, 1), (12, 1), (13, 1), (13, 2), (14, 2), (14, 3), (14, 4), (13, 4), (13, 5), (13, 6), (13, 7), (13, 8), (12, 8), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (9, 11), (9, 12), (8, 12), (8, 13), (8, 14)]",10
1,"(12, 1)","(6, 14)",1000,2000,0.9,45,20,100.0,3.13,27.6,230.75,22,"[(12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (6, 14)]",20
2,"(15, 1)","(6, 14)",1000,2000,0.9,48,20,60.0,44.69,46.5,1365.25,39,"[(15, 1), (14, 1), (15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (10, 1), (10, 2), (9, 2), (9, 1), (8, 1), (7, 1), (8, 1), (8, 2), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (6, 14)]",12
3,"(11, 1)","(5, 14)",1000,2000,0.9,45,20,100.0,1.29,26.0,73.0,20,"[(11, 1), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14)]",20
4,"(11, 1)","(4, 14)",1000,2000,0.9,46,20,100.0,5.33,30.1,312.35,29,"[(11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (11, 13), (10, 13), (9, 13), (8, 13), (8, 14), (7, 14), (6, 14), (5, 14), (4, 14)]",20
5,"(5, 1)","(4, 14)",1000,2000,0.9,40,20,100.0,0.14,23.9,0.9,15,"[(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (4, 13), (4, 14)]",20
6,"(16, 1)","(9, 14)",1000,2000,0.9,46,20,100.0,0.39,32.7,15.95,21,"[(16, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (13, 13), (12, 13), (11, 13), (10, 13), (10, 14), (9, 14)]",20
